Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 053.02 000074.07 000190.95 000265.01
24/02/2020 051.78 000075.91 000179.93 000255.84
25/02/2020 051.57 000077.45 000171.43 000248.88
26/02/2020 048.05 000078.94 000150.10 000229.04
27/02/2020 051.37 000079.66 000152.39 000232.05
28/02/2020 057.71 000081.09 000204.06 000285.15
29/02/2020 056.62 000084.11 000222.05 000306.15
01/03/2020 052.97 000086.81 000208.18 000294.99
02/03/2020 053.57 000088.58 000203.22 000291.80
03/03/2020 046.69 000090.49 000171.47 000261.96
04/03/2020 043.95 000090.89 000144.76 000235.65
05/03/2020 041.50 000090.79 000121.73 000212.52
06/03/2020 040.00 000090.37 000102.36 000192.73
07/03/2020 038.58 000089.96 000086.07 000176.03
08/03/2020 036.85 000089.54 000072.38 000161.92
09/03/2020 035.89 000089.13 000060.86 000149.99
10/03/2020 035.23 000088.72 000051.34 000140.05
11/03/2020 034.68 000088.31 000043.42 000131.73
12/03/2020 033.79 000087.90 000036.52 000124.42
13/03/2020 032.35 000087.50 000030.71 000118.20
14/03/2020 030.92 000087.09 000025.82 000112.91
15/03/2020 029.54 000086.69 000021.71 000108.40
16/03/2020 031.70 000086.29 000022.90 000109.19
17/03/2020 035.91 000085.89 000029.23 000115.13
18/03/2020 045.95 000085.50 000065.29 000150.79
19/03/2020 049.60 000085.78 000073.61 000159.39
20/03/2020 052.31 000086.79 000088.21 000175.00
21/03/2020 052.16 000088.41 000094.59 000183.00
22/03/2020 050.96 000089.98 000094.02 000184.00
23/03/2020 046.39 000091.27 000081.08 000172.35
24/03/2020 043.14 000091.61 000068.18 000159.79
