Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 056.17 000259.08 000570.78 000829.86
24/02/2020 048.16 000271.47 000531.70 000803.17
25/02/2020 047.26 000274.89 000504.88 000779.77
26/02/2020 055.89 000277.42 000593.34 000870.76
27/02/2020 056.43 000289.33 000646.42 000935.75
28/02/2020 059.19 000301.84 000759.30 001061.15
29/02/2020 059.43 000317.90 000865.52 001183.42
01/03/2020 052.24 000334.17 000826.81 001160.98
02/03/2020 048.08 000341.39 000769.71 001111.10
03/03/2020 043.80 000344.24 000706.09 001050.33
04/03/2020 041.53 000343.27 000647.51 000990.78
05/03/2020 039.35 000340.90 000593.77 000934.67
06/03/2020 037.26 000338.55 000544.49 000883.04
07/03/2020 035.27 000336.21 000499.30 000835.51
08/03/2020 033.92 000333.89 000457.86 000791.74
09/03/2020 032.24 000331.58 000419.86 000751.44
10/03/2020 030.60 000329.29 000385.01 000714.30
11/03/2020 029.02 000327.01 000353.06 000680.07
12/03/2020 027.82 000324.76 000323.75 000648.51
13/03/2020 026.38 000322.51 000296.88 000619.40
14/03/2020 024.99 000320.28 000272.24 000592.53
15/03/2020 024.84 000318.07 000252.35 000570.43
16/03/2020 028.37 000315.88 000247.49 000563.37
17/03/2020 028.54 000313.69 000231.47 000545.17
18/03/2020 028.84 000311.53 000217.13 000528.66
19/03/2020 028.43 000309.37 000200.61 000509.99
20/03/2020 028.41 000307.24 000187.89 000495.13
21/03/2020 045.18 000305.12 000346.19 000651.30
22/03/2020 046.22 000305.57 000333.77 000639.34
23/03/2020 044.58 000306.94 000312.68 000619.62
24/03/2020 041.28 000306.87 000286.73 000593.59
