Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 041.98 000019.89 000006.91 000026.80
24/02/2020 041.01 000019.65 000005.70 000025.36
25/02/2020 044.49 000019.42 000017.65 000037.07
26/02/2020 054.43 000019.19 000080.64 000099.83
27/02/2020 064.70 000019.02 000158.41 000177.43
28/02/2020 062.46 000019.03 000129.19 000148.23
29/02/2020 060.11 000019.00 000105.37 000124.37
01/03/2020 057.90 000018.93 000085.93 000104.86
02/03/2020 056.09 000018.82 000070.09 000088.91
03/03/2020 054.71 000018.68 000057.16 000075.84
04/03/2020 053.16 000018.53 000046.62 000065.14
05/03/2020 051.54 000018.35 000038.02 000056.37
06/03/2020 049.93 000018.15 000031.01 000049.16
07/03/2020 048.54 000017.93 000025.29 000043.22
08/03/2020 047.54 000017.72 000020.66 000038.39
09/03/2020 047.51 000017.51 000018.73 000036.24
10/03/2020 046.04 000017.30 000015.27 000032.58
11/03/2020 044.61 000017.10 000012.46 000029.55
12/03/2020 043.23 000016.89 000010.16 000027.05
13/03/2020 041.89 000016.69 000008.29 000024.98
14/03/2020 040.59 000016.49 000006.76 000023.25
15/03/2020 039.34 000016.30 000005.51 000021.81
16/03/2020 038.13 000016.11 000004.49 000020.60
17/03/2020 037.08 000015.91 000003.67 000019.58
18/03/2020 036.62 000015.72 000003.37 000019.10
19/03/2020 043.25 000015.54 000028.97 000044.51
20/03/2020 047.47 000015.35 000038.91 000054.27
21/03/2020 046.05 000015.17 000031.74 000046.91
22/03/2020 044.62 000014.99 000025.88 000040.87
23/03/2020 043.24 000014.81 000021.11 000035.92
24/03/2020 041.92 000014.64 000017.22 000031.85
