Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.45 000021.49 000000.00 000021.49
24/02/2020 030.24 000021.00 000001.29 000022.28
25/02/2020 040.20 000020.52 000093.89 000114.41
26/02/2020 048.72 000020.55 000144.77 000165.33
27/02/2020 048.60 000021.30 000090.54 000111.85
28/02/2020 048.05 000022.03 000057.06 000079.08
29/02/2020 048.41 000022.68 000041.07 000063.75
01/03/2020 048.26 000023.35 000029.48 000052.83
02/03/2020 046.51 000023.99 000017.30 000041.29
03/03/2020 044.99 000024.46 000010.15 000034.61
04/03/2020 043.51 000024.78 000005.95 000030.73
05/03/2020 042.02 000024.97 000003.49 000028.46
06/03/2020 040.62 000025.04 000002.05 000027.09
07/03/2020 040.24 000025.00 000002.90 000027.90
08/03/2020 039.94 000024.94 000003.76 000028.70
09/03/2020 039.31 000024.85 000002.78 000027.63
10/03/2020 038.13 000024.73 000001.63 000026.36
11/03/2020 036.99 000024.52 000000.96 000025.48
12/03/2020 035.91 000024.25 000000.56 000024.81
13/03/2020 034.87 000023.92 000000.33 000024.25
14/03/2020 033.89 000023.54 000000.19 000023.73
15/03/2020 032.96 000023.11 000000.11 000023.23
16/03/2020 032.07 000022.65 000000.07 000022.71
17/03/2020 031.28 000022.15 000000.04 000022.19
18/03/2020 035.75 000021.64 000023.57 000045.21
19/03/2020 039.75 000021.36 000036.28 000057.65
20/03/2020 039.58 000021.35 000023.72 000045.07
21/03/2020 038.59 000021.32 000013.92 000035.24
22/03/2020 037.66 000021.23 000008.17 000029.39
23/03/2020 037.12 000021.07 000005.30 000026.37
24/03/2020 036.04 000020.89 000003.11 000024.00
