Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 044.98 000061.36 000006.27 000067.63
24/02/2020 043.63 000059.96 000004.75 000064.71
25/02/2020 045.80 000058.59 000037.46 000096.05
26/02/2020 053.57 000057.25 000223.91 000281.16
27/02/2020 058.60 000056.30 000289.71 000346.01
28/02/2020 060.35 000055.94 000260.94 000316.88
29/02/2020 058.42 000055.82 000197.75 000253.58
01/03/2020 056.60 000055.46 000149.87 000205.33
02/03/2020 055.08 000054.88 000113.58 000168.46
03/03/2020 053.66 000054.15 000086.08 000140.23
04/03/2020 052.41 000053.27 000065.23 000118.51
05/03/2020 051.12 000052.29 000049.44 000101.73
06/03/2020 049.82 000051.20 000037.47 000088.67
07/03/2020 048.61 000050.03 000028.40 000078.43
08/03/2020 049.30 000048.89 000033.66 000082.55
09/03/2020 048.37 000047.77 000025.52 000073.29
10/03/2020 047.22 000046.68 000019.34 000066.02
11/03/2020 046.01 000045.62 000014.66 000060.27
12/03/2020 044.83 000044.57 000011.11 000055.68
13/03/2020 043.82 000043.56 000008.42 000051.98
14/03/2020 042.75 000042.56 000006.38 000048.94
15/03/2020 041.66 000041.59 000004.83 000046.42
16/03/2020 040.59 000040.64 000003.66 000044.30
17/03/2020 039.56 000039.71 000002.78 000042.49
18/03/2020 042.01 000038.80 000031.07 000069.87
19/03/2020 045.58 000037.92 000072.17 000110.09
20/03/2020 047.77 000037.05 000083.48 000120.53
21/03/2020 048.48 000036.21 000075.34 000111.55
22/03/2020 047.41 000035.38 000057.10 000092.48
23/03/2020 046.24 000034.57 000043.27 000077.84
24/03/2020 045.06 000033.78 000032.79 000066.58
