Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 048.12 000018.67 000002.09 000020.77
24/02/2020 047.10 000018.25 000001.66 000019.91
25/02/2020 047.10 000017.83 000002.15 000019.98
26/02/2020 047.11 000017.42 000002.56 000019.98
27/02/2020 047.11 000017.03 000002.86 000019.89
28/02/2020 046.20 000016.64 000002.27 000018.91
29/02/2020 045.27 000016.26 000001.80 000018.06
01/03/2020 044.37 000015.89 000001.43 000017.32
02/03/2020 043.53 000015.52 000001.14 000016.66
03/03/2020 042.74 000015.17 000000.90 000016.07
04/03/2020 041.94 000014.82 000000.72 000015.54
05/03/2020 041.15 000014.48 000000.57 000015.05
06/03/2020 040.37 000014.15 000000.45 000014.60
07/03/2020 039.75 000013.83 000000.36 000014.19
08/03/2020 039.55 000013.51 000000.49 000014.01
09/03/2020 039.05 000013.20 000000.40 000013.60
10/03/2020 038.34 000012.90 000000.31 000013.22
11/03/2020 037.64 000012.61 000000.25 000012.86
12/03/2020 036.95 000012.32 000000.20 000012.52
13/03/2020 036.24 000012.04 000000.16 000012.20
14/03/2020 035.55 000011.76 000000.12 000011.89
15/03/2020 034.88 000011.50 000000.10 000011.59
16/03/2020 034.21 000011.23 000000.08 000011.31
17/03/2020 033.98 000010.98 000000.18 000011.16
18/03/2020 037.44 000010.73 000006.66 000017.39
19/03/2020 042.34 000010.48 000017.18 000027.66
20/03/2020 045.80 000010.24 000021.19 000031.43
21/03/2020 045.92 000010.01 000017.52 000027.53
22/03/2020 045.88 000009.78 000014.43 000024.21
23/03/2020 045.64 000009.56 000011.68 000021.24
24/03/2020 044.77 000009.34 000009.27 000018.61
