Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.68 000041.33 000068.94 000110.27
24/02/2020 038.45 000041.02 000063.98 000105.00
25/02/2020 039.84 000040.70 000066.29 000107.00
26/02/2020 050.16 000040.43 000174.18 000214.61
27/02/2020 059.45 000040.47 000279.20 000319.68
28/02/2020 065.80 000040.90 000336.23 000377.13
29/02/2020 066.68 000041.62 000315.45 000357.07
01/03/2020 067.09 000042.39 000293.54 000335.92
02/03/2020 065.24 000043.16 000261.51 000304.68
03/03/2020 063.47 000043.84 000232.98 000276.82
04/03/2020 061.77 000044.41 000207.57 000251.98
05/03/2020 060.15 000044.89 000184.93 000229.82
06/03/2020 058.58 000045.30 000164.76 000210.06
07/03/2020 057.07 000045.62 000146.79 000192.41
08/03/2020 055.30 000045.88 000130.78 000176.66
09/03/2020 053.42 000046.06 000116.51 000162.57
10/03/2020 051.60 000046.16 000103.80 000149.96
11/03/2020 049.86 000046.19 000092.47 000138.66
12/03/2020 048.19 000046.16 000082.38 000128.54
13/03/2020 046.52 000046.07 000073.40 000119.46
14/03/2020 044.93 000045.92 000065.39 000111.31
15/03/2020 043.40 000045.73 000058.25 000103.98
16/03/2020 041.97 000045.49 000051.90 000097.39
17/03/2020 041.50 000045.22 000047.19 000092.41
18/03/2020 040.70 000044.93 000042.17 000087.10
19/03/2020 042.95 000044.63 000049.72 000094.36
20/03/2020 044.23 000044.39 000052.10 000096.50
21/03/2020 045.32 000044.20 000053.62 000097.82
22/03/2020 045.42 000044.04 000051.45 000095.48
23/03/2020 045.40 000043.88 000049.15 000093.03
24/03/2020 044.02 000043.73 000043.78 000087.51
