Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 046.25 000140.35 000039.65 000180.00
24/02/2020 044.75 000140.22 000028.04 000168.26
25/02/2020 043.61 000139.83 000019.84 000159.67
26/02/2020 046.63 000139.24 000085.42 000224.66
27/02/2020 052.95 000139.20 000278.29 000417.50
28/02/2020 053.04 000140.47 000216.73 000357.20
29/02/2020 051.55 000141.73 000153.33 000295.06
01/03/2020 050.23 000142.64 000108.75 000251.40
02/03/2020 049.41 000143.26 000079.47 000222.73
03/03/2020 048.30 000143.70 000056.51 000200.21
04/03/2020 047.59 000143.91 000042.99 000186.90
05/03/2020 047.12 000143.97 000036.45 000180.42
06/03/2020 046.09 000143.95 000026.01 000169.96
07/03/2020 044.75 000143.73 000018.39 000162.12
08/03/2020 044.19 000143.28 000016.24 000159.52
09/03/2020 044.37 000142.73 000023.67 000166.40
10/03/2020 044.40 000142.23 000027.52 000169.74
11/03/2020 043.95 000141.74 000023.98 000165.72
12/03/2020 042.67 000141.18 000016.96 000158.13
13/03/2020 041.47 000140.41 000011.99 000152.40
14/03/2020 040.32 000139.46 000008.48 000147.94
15/03/2020 039.20 000138.36 000006.00 000144.35
16/03/2020 038.13 000137.11 000004.24 000141.35
17/03/2020 037.44 000135.73 000003.22 000138.95
18/03/2020 037.39 000134.27 000009.82 000144.09
19/03/2020 037.46 000132.84 000015.54 000148.38
20/03/2020 038.67 000131.44 000032.47 000163.91
21/03/2020 039.68 000130.23 000042.44 000172.68
22/03/2020 038.76 000129.19 000030.01 000159.20
23/03/2020 037.71 000128.03 000021.22 000149.25
24/03/2020 036.70 000126.74 000015.01 000141.75
