Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.90 000197.86 000033.76 000231.62
24/02/2020 030.55 000197.33 000023.49 000220.83
25/02/2020 030.33 000196.56 000018.26 000214.83
26/02/2020 035.71 000195.64 000118.96 000314.60
27/02/2020 034.97 000199.17 000107.96 000307.12
28/02/2020 033.22 000201.99 000077.03 000279.02
29/02/2020 031.85 000203.26 000044.40 000247.66
01/03/2020 030.92 000203.42 000025.61 000229.03
02/03/2020 030.24 000202.89 000014.40 000217.29
03/03/2020 029.67 000201.86 000008.08 000209.94
04/03/2020 029.15 000200.68 000004.54 000205.21
05/03/2020 028.64 000199.50 000002.55 000202.05
06/03/2020 028.13 000198.33 000001.43 000199.76
07/03/2020 027.62 000197.17 000000.80 000197.97
08/03/2020 027.11 000196.02 000000.45 000196.47
09/03/2020 026.65 000194.87 000000.25 000195.12
10/03/2020 026.20 000193.73 000000.14 000193.87
11/03/2020 025.73 000192.59 000000.08 000192.67
12/03/2020 025.27 000191.47 000000.04 000191.51
13/03/2020 024.82 000190.34 000000.03 000190.37
14/03/2020 024.36 000189.23 000000.01 000189.24
15/03/2020 023.92 000188.12 000000.01 000188.13
16/03/2020 023.48 000187.02 000000.00 000187.02
17/03/2020 023.09 000185.92 000000.00 000185.93
18/03/2020 023.07 000184.84 000004.09 000188.93
19/03/2020 024.62 000183.75 000022.51 000206.26
20/03/2020 029.77 000182.68 000108.70 000291.37
21/03/2020 033.00 000181.61 000111.92 000293.53
22/03/2020 031.86 000182.81 000081.47 000264.29
23/03/2020 031.01 000183.10 000046.62 000229.72
24/03/2020 030.34 000182.74 000026.32 000209.07
