Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 026.69 000625.36 000000.00 000625.36
24/02/2020 026.14 000619.53 000000.00 000619.53
25/02/2020 025.84 000613.75 000001.57 000615.33
26/02/2020 029.85 000608.03 000128.31 000736.35
27/02/2020 031.52 000602.36 000147.37 000749.73
28/02/2020 032.41 000601.92 000155.13 000757.05
29/02/2020 031.40 000604.73 000125.99 000730.71
01/03/2020 030.65 000603.82 000101.16 000704.98
02/03/2020 029.97 000600.34 000078.99 000679.33
03/03/2020 029.46 000594.74 000061.67 000656.41
04/03/2020 028.96 000589.20 000048.15 000637.34
05/03/2020 028.38 000583.71 000037.59 000621.29
06/03/2020 027.79 000578.26 000029.35 000607.61
07/03/2020 027.20 000572.87 000022.91 000595.78
08/03/2020 026.98 000567.53 000020.33 000587.86
09/03/2020 026.76 000562.24 000018.17 000580.41
10/03/2020 026.25 000557.00 000014.18 000571.18
11/03/2020 025.73 000551.80 000011.07 000562.88
12/03/2020 025.21 000546.66 000008.65 000555.31
13/03/2020 024.68 000541.56 000006.75 000548.31
14/03/2020 024.19 000536.51 000005.27 000541.78
15/03/2020 023.70 000531.51 000004.11 000535.63
16/03/2020 023.19 000526.56 000003.21 000529.77
17/03/2020 022.78 000521.65 000002.51 000524.16
18/03/2020 022.44 000516.78 000002.05 000518.84
19/03/2020 026.11 000511.97 000100.39 000612.36
20/03/2020 032.46 000507.19 000323.52 000830.71
21/03/2020 033.73 000511.06 000307.02 000818.08
22/03/2020 032.11 000519.82 000240.99 000760.82
23/03/2020 031.02 000522.28 000188.60 000710.88
24/03/2020 030.06 000520.82 000147.24 000668.06
