Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 049.51 000234.02 000114.19 000348.21
24/02/2020 048.50 000234.21 000128.93 000363.15
25/02/2020 046.03 000234.32 000110.67 000344.99
26/02/2020 046.23 000234.22 000136.53 000370.75
27/02/2020 047.88 000234.14 000182.86 000417.00
28/02/2020 047.28 000234.19 000185.97 000420.16
29/02/2020 045.84 000234.19 000171.08 000405.27
01/03/2020 045.07 000234.08 000170.53 000404.60
02/03/2020 045.03 000233.90 000170.00 000403.91
03/03/2020 043.88 000233.72 000153.49 000387.21
04/03/2020 042.11 000233.46 000128.68 000362.15
05/03/2020 040.29 000233.07 000106.50 000339.57
06/03/2020 038.16 000232.57 000085.46 000318.03
07/03/2020 036.30 000231.93 000068.97 000300.90
08/03/2020 035.04 000231.19 000059.37 000290.55
09/03/2020 033.33 000230.38 000047.64 000278.02
10/03/2020 031.80 000229.49 000038.40 000267.90
11/03/2020 030.40 000228.54 000031.12 000259.67
12/03/2020 029.20 000227.54 000025.71 000253.25
13/03/2020 028.06 000226.52 000021.40 000247.93
14/03/2020 026.55 000225.51 000016.99 000242.50
15/03/2020 024.89 000224.51 000013.48 000237.99
16/03/2020 023.32 000223.51 000010.70 000234.21
17/03/2020 021.85 000222.51 000008.49 000231.00
18/03/2020 021.43 000221.52 000013.32 000234.83
19/03/2020 020.40 000220.53 000010.63 000231.15
20/03/2020 021.60 000219.54 000035.15 000254.70
21/03/2020 025.52 000218.56 000085.77 000304.34
22/03/2020 028.24 000217.59 000113.33 000330.92
23/03/2020 030.67 000216.62 000133.42 000350.04
24/03/2020 032.91 000215.68 000149.04 000364.72
