Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 046.74 000235.79 000068.29 000304.08
24/02/2020 045.26 000234.92 000054.20 000289.12
25/02/2020 043.75 000233.87 000043.02 000276.89
26/02/2020 043.11 000232.65 000037.87 000270.52
27/02/2020 046.56 000231.37 000121.73 000353.11
28/02/2020 048.71 000230.53 000156.53 000387.05
29/02/2020 049.51 000229.97 000155.77 000385.75
01/03/2020 048.11 000229.54 000123.64 000353.18
02/03/2020 046.58 000228.91 000098.14 000327.05
03/03/2020 045.15 000228.09 000077.89 000305.98
04/03/2020 043.79 000227.10 000061.82 000288.92
05/03/2020 042.51 000225.95 000049.07 000275.02
06/03/2020 041.24 000224.68 000038.95 000263.62
07/03/2020 040.01 000223.27 000030.91 000254.18
08/03/2020 038.91 000221.76 000024.53 000246.29
09/03/2020 038.44 000220.14 000022.10 000242.25
10/03/2020 038.32 000218.50 000026.24 000244.75
11/03/2020 038.58 000216.87 000033.73 000250.60
12/03/2020 037.54 000215.28 000026.77 000242.05
13/03/2020 036.46 000213.61 000021.25 000234.85
14/03/2020 035.43 000211.85 000016.86 000228.72
15/03/2020 034.43 000210.03 000013.38 000223.42
16/03/2020 033.48 000208.15 000010.62 000218.77
17/03/2020 032.61 000206.21 000008.43 000214.64
18/03/2020 032.79 000204.23 000017.02 000221.25
19/03/2020 034.79 000202.28 000048.42 000250.70
20/03/2020 036.85 000200.51 000076.03 000276.54
21/03/2020 039.50 000198.93 000112.35 000311.28
22/03/2020 039.33 000197.61 000097.19 000294.80
23/03/2020 038.39 000196.29 000077.14 000273.43
24/03/2020 037.34 000194.90 000061.22 000256.12
