Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 040.67 000264.50 000159.93 000424.43
24/02/2020 042.48 000265.68 000169.69 000435.37
25/02/2020 046.40 000267.61 000242.12 000509.74
26/02/2020 049.65 000271.37 000301.05 000572.43
27/02/2020 054.29 000276.81 000438.61 000715.42
28/02/2020 057.16 000284.93 000515.86 000800.79
29/02/2020 055.37 000294.85 000429.99 000724.83
01/03/2020 054.28 000303.50 000372.55 000676.05
02/03/2020 054.33 000311.39 000348.02 000659.41
03/03/2020 057.28 000319.23 000443.25 000762.48
04/03/2020 058.15 000328.93 000457.26 000786.19
05/03/2020 054.60 000339.14 000354.69 000693.83
06/03/2020 055.15 000346.92 000352.90 000699.82
07/03/2020 057.06 000354.99 000408.93 000763.92
08/03/2020 055.55 000364.23 000352.19 000716.43
09/03/2020 055.41 000372.41 000336.85 000709.26
10/03/2020 052.84 000380.42 000270.58 000651.00
11/03/2020 049.79 000386.76 000207.63 000594.39
12/03/2020 046.19 000391.27 000153.61 000544.88
13/03/2020 043.28 000393.86 000113.64 000507.50
14/03/2020 040.75 000395.04 000084.07 000479.11
15/03/2020 038.66 000395.12 000062.20 000457.32
16/03/2020 036.82 000394.38 000046.01 000440.40
17/03/2020 035.30 000392.98 000034.04 000427.02
18/03/2020 033.90 000391.08 000025.18 000416.27
19/03/2020 032.70 000388.76 000018.63 000407.39
20/03/2020 032.90 000386.11 000024.42 000410.53
21/03/2020 033.77 000383.54 000035.35 000418.89
22/03/2020 035.15 000381.25 000050.55 000431.80
23/03/2020 037.24 000379.40 000074.87 000454.27
24/03/2020 039.96 000378.28 000110.10 000488.38
