Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.84 000077.72 000118.78 000196.50
24/02/2020 043.10 000080.20 000137.84 000218.04
25/02/2020 046.66 000084.71 000173.06 000257.76
26/02/2020 047.55 000091.13 000200.34 000291.48
27/02/2020 042.92 000098.03 000180.65 000278.68
28/02/2020 044.46 000102.29 000186.34 000288.63
29/02/2020 043.72 000107.32 000180.69 000288.01
01/03/2020 043.13 000111.91 000173.64 000285.55
02/03/2020 042.03 000116.15 000161.56 000277.71
03/03/2020 046.32 000119.79 000191.64 000311.43
04/03/2020 047.30 000125.71 000212.62 000338.34
05/03/2020 039.62 000132.16 000177.17 000309.33
06/03/2020 042.14 000134.51 000174.43 000308.94
07/03/2020 046.77 000138.04 000206.92 000344.97
08/03/2020 039.70 000144.07 000173.20 000317.27
09/03/2020 035.72 000146.35 000142.99 000289.34
10/03/2020 033.10 000146.95 000116.92 000263.86
11/03/2020 031.21 000146.59 000095.35 000241.95
12/03/2020 030.02 000145.64 000077.77 000223.41
13/03/2020 029.26 000144.36 000063.43 000207.79
14/03/2020 028.61 000143.08 000051.77 000194.85
15/03/2020 027.96 000141.82 000042.25 000184.07
16/03/2020 027.64 000140.56 000035.05 000175.62
17/03/2020 026.95 000139.32 000028.59 000167.91
18/03/2020 026.55 000138.09 000023.65 000161.74
19/03/2020 026.49 000136.87 000020.86 000157.73
20/03/2020 035.50 000135.65 000058.98 000194.64
21/03/2020 044.78 000136.26 000120.99 000257.25
22/03/2020 044.41 000141.16 000131.31 000272.48
23/03/2020 037.59 000145.83 000108.08 000253.90
24/03/2020 035.46 000147.17 000091.77 000238.94
