Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 041.32 000313.98 000190.06 000504.05
24/02/2020 047.28 000311.73 000239.50 000551.23
25/02/2020 054.59 000313.32 000385.02 000698.33
26/02/2020 057.48 000322.40 000521.95 000844.36
27/02/2020 056.64 000334.90 000577.46 000912.36
28/02/2020 053.13 000346.27 000536.80 000883.07
29/02/2020 051.02 000353.47 000486.71 000840.18
01/03/2020 047.23 000358.37 000412.79 000771.16
02/03/2020 055.31 000359.58 000546.64 000906.22
03/03/2020 059.09 000369.17 000708.15 001077.32
04/03/2020 058.16 000383.40 000767.11 001150.50
05/03/2020 051.88 000396.32 000662.14 001058.46
06/03/2020 052.44 000401.81 000620.00 001021.81
07/03/2020 053.14 000407.86 000595.73 001003.59
08/03/2020 049.64 000414.63 000514.45 000929.08
09/03/2020 045.89 000417.70 000427.27 000844.98
10/03/2020 042.98 000417.31 000352.44 000769.76
11/03/2020 041.28 000414.60 000290.71 000705.31
12/03/2020 039.73 000411.62 000239.80 000651.41
13/03/2020 038.26 000408.65 000197.80 000606.45
14/03/2020 036.80 000405.71 000163.16 000568.87
15/03/2020 035.57 000402.80 000134.58 000537.38
16/03/2020 034.40 000399.90 000111.01 000510.91
17/03/2020 033.14 000397.02 000091.57 000488.59
18/03/2020 032.07 000394.16 000075.53 000469.70
19/03/2020 031.14 000391.33 000062.32 000453.65
20/03/2020 031.05 000388.51 000057.02 000445.53
21/03/2020 031.20 000385.72 000054.58 000440.30
22/03/2020 032.27 000382.94 000057.70 000440.64
23/03/2020 034.58 000380.19 000069.70 000449.89
24/03/2020 037.73 000377.45 000088.78 000466.23
