Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 039.90 000235.85 000259.40 000495.25
24/02/2020 041.59 000237.09 000267.42 000504.51
25/02/2020 044.25 000238.87 000299.77 000538.64
26/02/2020 046.19 000241.58 000326.06 000567.65
27/02/2020 046.61 000245.03 000327.91 000572.94
28/02/2020 052.37 000248.61 000488.00 000736.61
29/02/2020 056.22 000254.69 000628.32 000883.01
01/03/2020 058.32 000262.64 000735.70 000998.35
02/03/2020 058.38 000271.68 000762.25 001033.93
03/03/2020 055.89 000280.70 000705.31 000986.01
04/03/2020 049.52 000288.35 000585.53 000873.88
05/03/2020 044.29 000292.93 000485.50 000778.43
06/03/2020 040.74 000295.37 000402.61 000697.98
07/03/2020 040.47 000296.56 000357.94 000654.50
08/03/2020 039.31 000297.66 000311.83 000609.49
09/03/2020 036.53 000298.39 000258.56 000556.95
10/03/2020 034.27 000298.31 000214.39 000512.70
11/03/2020 032.54 000297.65 000177.76 000475.41
12/03/2020 031.10 000296.59 000147.40 000443.98
13/03/2020 029.71 000295.23 000122.21 000417.44
14/03/2020 028.61 000293.66 000101.34 000394.99
15/03/2020 027.54 000292.09 000084.02 000376.12
16/03/2020 026.48 000290.54 000069.67 000360.21
17/03/2020 025.38 000289.00 000057.77 000346.76
18/03/2020 024.32 000287.46 000047.90 000335.36
19/03/2020 023.71 000285.93 000040.49 000326.42
20/03/2020 024.51 000284.41 000048.83 000333.24
21/03/2020 028.98 000282.90 000097.12 000380.02
22/03/2020 030.25 000281.39 000101.07 000382.47
23/03/2020 033.16 000279.95 000123.02 000402.97
24/03/2020 035.66 000279.12 000142.00 000421.12
