Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.12 000384.29 000238.59 000622.88
24/02/2020 036.64 000387.16 000198.50 000585.66
25/02/2020 035.34 000388.78 000163.75 000552.53
26/02/2020 040.32 000389.39 000231.31 000620.70
27/02/2020 045.64 000394.19 000377.67 000771.85
28/02/2020 047.01 000404.47 000472.07 000876.53
29/02/2020 048.42 000416.25 000586.16 001002.42
01/03/2020 049.76 000429.66 000720.78 001150.44
02/03/2020 050.39 000444.65 000836.17 001280.82
03/03/2020 047.18 000460.35 000773.87 001234.22
04/03/2020 038.62 000471.92 000576.34 001048.27
05/03/2020 034.62 000474.58 000427.39 000901.97
06/03/2020 032.21 000474.01 000316.31 000790.33
07/03/2020 031.21 000471.81 000237.20 000709.01
08/03/2020 034.75 000469.00 000221.24 000690.24
09/03/2020 035.47 000468.57 000191.39 000659.96
10/03/2020 033.40 000468.68 000147.31 000616.00
11/03/2020 034.82 000467.31 000138.21 000605.52
12/03/2020 032.98 000466.94 000107.39 000574.34
13/03/2020 031.34 000465.29 000079.94 000545.24
14/03/2020 030.56 000462.62 000061.46 000524.08
15/03/2020 030.36 000459.50 000052.10 000511.59
16/03/2020 030.04 000456.29 000042.41 000498.70
17/03/2020 029.75 000452.92 000034.40 000487.32
18/03/2020 030.20 000449.56 000035.03 000484.59
19/03/2020 030.32 000446.33 000033.97 000480.30
20/03/2020 030.16 000443.20 000031.16 000474.36
21/03/2020 030.01 000440.00 000028.43 000468.43
22/03/2020 032.86 000436.74 000052.11 000488.85
23/03/2020 036.70 000435.24 000099.29 000534.53
24/03/2020 033.64 000436.55 000074.67 000511.22
