Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 055.27 000624.79 000037.84 000662.64
24/02/2020 054.98 000625.41 000061.72 000687.13
25/02/2020 055.86 000625.94 000104.99 000730.93
26/02/2020 055.85 000626.72 000124.85 000751.57
27/02/2020 053.51 000627.49 000107.02 000734.50
28/02/2020 054.82 000627.59 000149.30 000776.89
29/02/2020 058.94 000628.06 000286.13 000914.19
01/03/2020 061.80 000629.76 000377.12 001006.88
02/03/2020 064.10 000632.38 000440.80 001073.18
03/03/2020 063.63 000635.78 000416.84 001052.62
04/03/2020 067.15 000638.99 000550.93 001189.93
05/03/2020 063.66 000643.45 000467.62 001111.07
06/03/2020 062.98 000646.62 000433.42 001080.04
07/03/2020 064.22 000649.53 000455.54 001105.07
08/03/2020 064.41 000652.85 000446.93 001099.78
09/03/2020 061.99 000656.21 000386.15 001042.36
10/03/2020 058.44 000658.71 000327.40 000986.12
11/03/2020 055.24 000660.04 000277.59 000937.64
12/03/2020 052.37 000660.40 000235.36 000895.76
13/03/2020 049.78 000659.96 000199.55 000859.51
14/03/2020 047.42 000658.85 000169.19 000828.04
15/03/2020 045.54 000657.17 000143.45 000800.62
16/03/2020 043.99 000655.08 000121.89 000776.97
17/03/2020 042.57 000652.68 000103.68 000756.36
18/03/2020 040.92 000650.00 000087.91 000737.91
19/03/2020 039.45 000647.02 000074.53 000721.56
20/03/2020 038.78 000643.80 000067.10 000710.91
21/03/2020 039.72 000640.49 000079.22 000719.71
22/03/2020 039.27 000637.36 000074.65 000712.01
23/03/2020 038.29 000634.18 000064.28 000698.46
24/03/2020 037.74 000630.85 000059.15 000690.00
