Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 061.08 000128.50 000178.23 000306.73
24/02/2020 060.63 000130.83 000156.00 000286.83
25/02/2020 060.65 000133.02 000141.14 000274.17
26/02/2020 062.88 000135.21 000155.64 000290.84
27/02/2020 064.26 000137.94 000161.68 000299.62
28/02/2020 061.59 000141.02 000132.59 000273.61
29/02/2020 064.01 000143.37 000155.06 000298.44
01/03/2020 062.12 000146.34 000131.13 000277.47
02/03/2020 065.39 000148.78 000170.39 000319.17
03/03/2020 068.54 000152.08 000217.83 000369.91
04/03/2020 071.60 000156.26 000278.19 000434.45
05/03/2020 073.37 000161.35 000315.64 000476.99
06/03/2020 073.58 000166.97 000317.32 000484.29
07/03/2020 074.16 000172.61 000330.05 000502.67
08/03/2020 074.87 000178.40 000349.20 000527.60
09/03/2020 075.73 000184.37 000377.19 000561.57
10/03/2020 073.59 000190.59 000332.58 000523.17
11/03/2020 068.54 000196.03 000269.57 000465.60
12/03/2020 064.16 000199.83 000218.50 000418.33
13/03/2020 060.50 000202.35 000177.10 000379.45
14/03/2020 057.41 000203.89 000143.55 000347.44
15/03/2020 054.78 000204.68 000116.35 000321.03
16/03/2020 052.50 000204.88 000094.31 000299.20
17/03/2020 050.52 000204.62 000076.44 000281.07
18/03/2020 048.79 000203.99 000061.96 000265.95
19/03/2020 047.28 000203.04 000050.22 000253.27
20/03/2020 049.67 000201.86 000057.31 000259.17
21/03/2020 049.74 000201.09 000050.97 000252.06
22/03/2020 050.20 000200.34 000047.59 000247.94
23/03/2020 050.99 000199.68 000046.90 000246.59
24/03/2020 053.93 000199.18 000064.56 000263.73
