Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 034.07 000289.43 000539.04 000828.47
24/02/2020 036.84 000292.77 000574.41 000867.18
25/02/2020 039.56 000299.83 000650.14 000949.96
26/02/2020 040.78 000311.00 000713.11 001024.11
27/02/2020 040.39 000324.14 000731.91 001056.04
28/02/2020 046.51 000336.56 000883.81 001220.38
29/02/2020 050.23 000360.39 000992.47 001352.87
01/03/2020 040.55 000392.29 001127.19 001519.48
02/03/2020 041.82 000404.72 001155.79 001560.51
03/03/2020 041.98 000419.26 001161.64 001580.90
04/03/2020 035.89 000434.04 001013.84 001447.88
05/03/2020 032.78 000439.16 000884.93 001324.10
06/03/2020 031.24 000440.31 000775.95 001216.26
07/03/2020 029.92 000439.73 000679.48 001119.21
08/03/2020 029.04 000437.87 000596.11 001033.98
09/03/2020 028.17 000436.03 000523.95 000959.98
10/03/2020 027.26 000434.19 000461.41 000895.60
11/03/2020 026.27 000432.35 000407.15 000839.50
12/03/2020 025.29 000430.53 000359.99 000790.52
13/03/2020 024.34 000428.72 000318.96 000747.67
14/03/2020 023.66 000426.91 000283.32 000710.23
15/03/2020 022.99 000425.11 000252.15 000677.26
16/03/2020 022.24 000423.31 000224.81 000648.13
17/03/2020 021.42 000421.53 000200.86 000622.39
18/03/2020 020.67 000419.75 000179.84 000599.59
19/03/2020 019.98 000417.98 000161.35 000579.33
20/03/2020 021.29 000416.22 000174.58 000590.80
21/03/2020 024.83 000414.46 000226.34 000640.80
22/03/2020 032.27 000412.71 000397.88 000810.60
23/03/2020 038.92 000413.38 000566.40 000979.78
24/03/2020 036.27 000423.05 000518.89 000941.94
