                        BATALHA            CORUMBA-3           EMBORCAÇÃO           NOVA PONTE           C.BRANCO-2            ITUMBIARA           C. DOURADA            SÃO SIMÃO            CORUMBA-4              MIRANDA           C.BRANCO-1              CORUMBA           S.DO FACÃO
                            022                  023                  024                  025                  028                  031                  032                  033                  205                  206                  207                  209                  251
                    INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
24/03/2020               179.43                51.34               443.92               519.28                 5.05               396.96               102.39              1544.30               239.00                16.84                 2.10               462.09               112.32
25/03/2020               179.44                51.98               429.85               497.00                 4.77               374.62                96.11              1510.56               229.41                15.89                 1.99               467.86               112.34
26/03/2020               173.74                49.87               416.93               478.35                 4.53               355.62                90.21              1465.56               219.25                15.08                 1.89               448.82               108.77
27/03/2020               164.86                46.74               405.82               463.06                 4.32               339.42                84.74              1407.28               207.57                14.40                 1.80               420.67               103.20
28/03/2020               157.31                44.36               396.21               450.69                 4.14               325.54                79.89              1351.39               196.36                13.81                 1.73               399.25                98.48
29/03/2020               150.95                42.52               387.84               440.73                 3.99               313.78                75.70              1303.12               186.53                13.31                 1.66               382.71                94.50
30/03/2020               145.54                41.09               380.50               432.57                 3.87               303.80                72.68              1268.56               178.00                12.89                 1.61               369.77                91.11
31/03/2020               140.91                39.94               374.01               427.03                 3.76               295.28                70.05              1240.92               170.78                12.53                 1.57               359.46                88.21
01/04/2020               136.91                39.03               368.25               423.08                 3.67               288.57                67.92              1217.55               164.68                12.24                 1.53               351.25                85.70
02/04/2020               133.54                38.32               363.25               419.36                 3.61               283.79                65.71              1191.20               159.57                12.04                 1.50               344.90                83.60
03/04/2020               131.06                37.78               359.40               416.12                 3.56               279.73                63.74              1166.23               155.35                11.87                 1.48               340.02                82.05
04/04/2020               128.84                37.30               356.10               411.63                 3.52               276.47                61.90              1142.50               151.84                11.73                 1.47               335.66                80.65
