Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 075.78 000077.61 000073.44 000151.05
24/02/2020 076.42 000077.40 000073.66 000151.06
25/02/2020 076.32 000077.20 000062.37 000139.58
26/02/2020 078.60 000077.00 000114.94 000191.94
27/02/2020 078.70 000079.69 000133.29 000212.98
28/02/2020 077.54 000082.52 000118.86 000201.38
29/02/2020 076.56 000083.72 000099.73 000183.45
01/03/2020 076.21 000083.58 000081.81 000165.39
02/03/2020 075.56 000083.36 000065.88 000149.25
03/03/2020 074.78 000083.15 000053.18 000136.33
04/03/2020 074.01 000082.93 000043.04 000125.97
05/03/2020 073.25 000082.72 000034.94 000117.65
06/03/2020 072.49 000082.50 000028.45 000110.95
07/03/2020 071.74 000082.29 000023.26 000105.54
08/03/2020 071.00 000082.07 000019.09 000101.16
09/03/2020 070.27 000081.86 000015.74 000097.60
10/03/2020 069.54 000081.65 000013.04 000094.69
11/03/2020 068.83 000081.44 000010.86 000092.30
12/03/2020 068.12 000081.23 000009.09 000090.32
13/03/2020 067.42 000081.02 000007.66 000088.68
14/03/2020 066.73 000080.81 000006.50 000087.30
15/03/2020 066.04 000080.60 000005.54 000086.14
16/03/2020 065.98 000080.39 000006.99 000087.38
17/03/2020 066.46 000080.18 000013.31 000093.49
18/03/2020 066.84 000079.97 000017.22 000097.19
19/03/2020 067.73 000079.76 000027.21 000106.97
20/03/2020 068.93 000079.56 000041.23 000120.79
21/03/2020 069.79 000079.35 000046.80 000126.14
22/03/2020 070.37 000079.14 000047.16 000126.30
23/03/2020 070.50 000078.94 000042.13 000121.07
24/03/2020 069.92 000078.73 000033.65 000112.38
