Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.46 000141.95 000178.48 000320.43
24/02/2020 043.61 000141.32 000146.95 000288.28
25/02/2020 042.55 000140.73 000102.52 000243.24
26/02/2020 042.81 000139.97 000094.91 000234.88
27/02/2020 045.38 000139.26 000146.11 000285.36
28/02/2020 047.42 000138.97 000172.70 000311.67
29/02/2020 048.35 000139.06 000166.07 000305.13
01/03/2020 046.74 000139.32 000115.32 000254.64
02/03/2020 045.19 000139.28 000080.07 000219.35
03/03/2020 043.98 000138.96 000055.61 000194.57
04/03/2020 042.85 000138.44 000038.63 000177.07
05/03/2020 041.82 000137.75 000026.85 000164.60
06/03/2020 040.66 000136.90 000018.64 000155.54
07/03/2020 039.44 000136.00 000012.95 000148.95
08/03/2020 038.39 000135.12 000008.99 000144.11
09/03/2020 037.42 000134.24 000006.24 000140.48
10/03/2020 036.50 000133.36 000004.33 000137.69
11/03/2020 035.44 000132.49 000003.01 000135.50
12/03/2020 034.37 000131.63 000002.09 000133.72
13/03/2020 033.33 000130.77 000001.45 000132.22
14/03/2020 032.33 000129.92 000001.01 000130.93
15/03/2020 031.35 000129.07 000000.70 000129.77
16/03/2020 030.60 000128.23 000000.49 000128.72
17/03/2020 030.57 000127.39 000011.70 000139.10
18/03/2020 032.47 000126.56 000050.12 000176.68
19/03/2020 033.68 000125.74 000064.89 000190.63
20/03/2020 034.00 000124.92 000062.21 000187.13
21/03/2020 035.56 000124.11 000080.46 000204.57
22/03/2020 037.75 000123.30 000108.11 000231.41
23/03/2020 037.73 000122.49 000088.36 000210.86
24/03/2020 036.61 000121.69 000061.35 000183.05
