Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 058.01 000044.52 000065.91 000110.42
24/02/2020 059.50 000044.34 000064.63 000108.97
25/02/2020 059.23 000044.16 000046.87 000091.03
26/02/2020 059.95 000043.99 000043.36 000087.35
27/02/2020 061.05 000043.81 000045.36 000089.17
28/02/2020 061.89 000043.64 000044.23 000087.87
29/02/2020 063.69 000043.46 000056.95 000100.42
01/03/2020 062.97 000043.29 000039.38 000082.67
02/03/2020 061.95 000043.12 000026.80 000069.91
03/03/2020 060.75 000042.94 000018.23 000061.17
04/03/2020 059.57 000042.77 000012.40 000055.18
05/03/2020 058.41 000042.60 000008.44 000051.04
06/03/2020 057.27 000042.43 000005.74 000048.17
07/03/2020 056.16 000042.26 000003.91 000046.17
08/03/2020 055.06 000042.09 000002.66 000044.75
09/03/2020 053.99 000041.92 000001.81 000043.73
10/03/2020 052.94 000041.76 000001.23 000042.99
11/03/2020 051.93 000041.59 000000.84 000042.43
12/03/2020 050.92 000041.42 000000.57 000041.99
13/03/2020 049.93 000041.26 000000.39 000041.64
14/03/2020 048.96 000041.09 000000.26 000041.36
15/03/2020 048.01 000040.93 000000.18 000041.11
16/03/2020 047.07 000040.76 000000.12 000040.89
17/03/2020 046.33 000040.60 000000.08 000040.68
18/03/2020 045.65 000040.44 000000.06 000040.49
19/03/2020 044.99 000040.28 000000.04 000040.32
20/03/2020 044.73 000040.12 000001.16 000041.28
21/03/2020 045.64 000039.95 000009.14 000049.09
22/03/2020 046.95 000039.80 000017.93 000057.73
23/03/2020 046.38 000039.64 000012.30 000051.94
24/03/2020 045.53 000039.48 000008.37 000047.85
