Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 045.81 000082.80 000156.23 000239.03
24/02/2020 047.42 000083.97 000147.41 000231.38
25/02/2020 048.20 000085.39 000133.49 000218.88
26/02/2020 048.04 000086.93 000114.71 000201.63
27/02/2020 045.95 000088.42 000087.06 000175.48
28/02/2020 047.06 000089.57 000089.25 000178.83
29/02/2020 048.98 000090.89 000103.03 000193.92
01/03/2020 050.22 000092.51 000107.79 000200.30
02/03/2020 048.22 000094.34 000082.17 000176.51
03/03/2020 045.86 000095.81 000062.27 000158.08
04/03/2020 044.42 000096.89 000048.12 000145.02
05/03/2020 043.26 000097.75 000038.21 000135.96
06/03/2020 042.22 000098.43 000030.80 000129.22
07/03/2020 040.44 000098.96 000023.34 000122.30
08/03/2020 038.76 000099.25 000017.69 000116.94
09/03/2020 037.23 000099.33 000013.41 000112.73
10/03/2020 035.94 000099.23 000010.16 000109.39
11/03/2020 034.76 000099.00 000007.70 000106.70
12/03/2020 033.72 000098.64 000005.84 000104.48
13/03/2020 032.78 000098.19 000004.42 000102.61
14/03/2020 031.80 000097.66 000003.35 000101.01
15/03/2020 030.92 000097.04 000002.54 000099.58
16/03/2020 030.02 000096.36 000001.92 000098.29
17/03/2020 029.19 000095.62 000001.46 000097.08
18/03/2020 028.70 000094.87 000001.20 000096.08
19/03/2020 030.13 000094.14 000011.24 000105.38
20/03/2020 032.09 000093.42 000022.75 000116.17
21/03/2020 038.52 000092.86 000090.51 000183.37
22/03/2020 044.64 000092.96 000151.26 000244.22
23/03/2020 049.61 000093.88 000191.90 000285.78
24/03/2020 052.77 000095.59 000201.64 000297.23
