Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 047.96 000039.44 000036.65 000076.10
24/02/2020 046.83 000039.17 000033.54 000072.71
25/02/2020 045.72 000038.86 000030.69 000069.55
26/02/2020 050.46 000038.51 000053.75 000092.26
27/02/2020 054.37 000038.36 000070.88 000109.24
28/02/2020 053.29 000038.40 000064.85 000103.25
29/02/2020 051.99 000038.38 000059.34 000097.72
01/03/2020 050.70 000038.30 000054.29 000092.59
02/03/2020 049.59 000038.16 000049.68 000087.84
03/03/2020 048.71 000037.98 000045.45 000083.43
04/03/2020 047.97 000037.76 000041.61 000079.37
05/03/2020 047.03 000037.51 000038.07 000075.58
06/03/2020 046.07 000037.22 000034.84 000072.06
07/03/2020 045.06 000036.91 000031.87 000068.78
08/03/2020 044.24 000036.55 000029.16 000065.72
09/03/2020 043.54 000036.18 000026.68 000062.86
10/03/2020 042.76 000035.78 000024.42 000060.19
11/03/2020 041.86 000035.37 000022.34 000057.71
12/03/2020 040.97 000034.96 000020.44 000055.40
13/03/2020 040.09 000034.56 000018.70 000053.26
14/03/2020 039.24 000034.16 000017.11 000051.28
15/03/2020 038.40 000033.77 000015.66 000049.43
16/03/2020 037.58 000033.38 000014.33 000047.71
17/03/2020 038.93 000033.00 000017.33 000050.33
18/03/2020 038.66 000032.62 000016.26 000048.89
19/03/2020 040.45 000032.25 000020.59 000052.84
20/03/2020 043.16 000031.88 000028.53 000060.41
21/03/2020 042.76 000031.52 000026.34 000057.85
22/03/2020 042.02 000031.15 000024.10 000055.25
23/03/2020 041.13 000030.80 000022.05 000052.85
24/03/2020 040.25 000030.44 000020.18 000050.62
