Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.57 000162.76 000002.42 000165.18
24/02/2020 042.87 000162.79 000001.39 000164.18
25/02/2020 042.18 000162.79 000000.78 000163.57
26/02/2020 041.67 000162.76 000001.72 000164.47
27/02/2020 043.86 000162.71 000068.16 000230.86
28/02/2020 047.26 000162.75 000167.18 000329.93
29/02/2020 048.56 000162.97 000130.47 000293.44
01/03/2020 047.86 000163.25 000067.18 000230.43
02/03/2020 047.06 000163.50 000034.03 000197.53
03/03/2020 046.30 000163.70 000017.52 000181.22
04/03/2020 046.93 000163.86 000033.27 000197.13
05/03/2020 047.32 000164.06 000036.36 000200.42
06/03/2020 046.58 000164.28 000018.92 000183.19
07/03/2020 045.83 000164.45 000009.85 000174.30
08/03/2020 044.86 000164.59 000004.92 000169.51
09/03/2020 043.96 000164.68 000002.46 000167.14
10/03/2020 043.08 000164.72 000001.23 000165.95
11/03/2020 042.22 000164.73 000000.62 000165.34
12/03/2020 041.39 000164.69 000000.31 000165.00
13/03/2020 040.59 000164.62 000000.15 000164.78
14/03/2020 039.81 000164.52 000000.08 000164.59
15/03/2020 039.07 000164.38 000000.04 000164.42
16/03/2020 038.37 000164.22 000000.02 000164.23
17/03/2020 037.78 000164.02 000000.01 000164.03
18/03/2020 037.34 000163.81 000000.44 000164.25
19/03/2020 037.38 000163.58 000007.56 000171.14
20/03/2020 037.61 000163.35 000013.55 000176.90
21/03/2020 038.30 000163.13 000024.21 000187.35
22/03/2020 038.62 000162.94 000023.73 000186.67
23/03/2020 038.11 000162.76 000012.04 000174.80
24/03/2020 037.56 000162.56 000006.02 000168.58
