Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 058.82 000036.89 000015.86 000052.74
24/02/2020 058.80 000037.41 000015.92 000053.33
25/02/2020 058.53 000037.93 000015.44 000053.37
26/02/2020 058.55 000038.42 000015.57 000053.99
27/02/2020 058.88 000038.90 000016.45 000055.35
28/02/2020 058.33 000039.42 000015.37 000054.79
29/02/2020 058.06 000039.88 000014.83 000054.70
01/03/2020 057.83 000040.31 000014.37 000054.68
02/03/2020 057.77 000040.71 000014.11 000054.82
03/03/2020 057.82 000041.10 000014.12 000055.22
04/03/2020 058.51 000041.50 000015.66 000057.16
05/03/2020 059.16 000041.96 000017.19 000059.16
06/03/2020 065.76 000042.49 000060.50 000102.99
07/03/2020 066.70 000043.74 000061.92 000105.66
08/03/2020 068.66 000045.09 000071.44 000116.53
09/03/2020 067.19 000046.68 000063.44 000110.13
10/03/2020 065.21 000048.08 000054.76 000102.84
11/03/2020 062.75 000049.22 000046.17 000095.40
12/03/2020 061.17 000050.08 000039.61 000089.69
13/03/2020 058.82 000050.76 000033.31 000084.07
14/03/2020 056.84 000051.19 000028.01 000079.20
15/03/2020 055.14 000051.43 000023.55 000074.98
16/03/2020 053.67 000051.51 000019.81 000071.32
17/03/2020 052.40 000051.47 000016.65 000068.12
18/03/2020 051.29 000051.32 000014.00 000065.32
19/03/2020 050.31 000051.08 000011.78 000062.86
20/03/2020 052.58 000050.77 000015.02 000065.79
21/03/2020 052.17 000050.64 000013.03 000063.67
22/03/2020 052.13 000050.48 000011.81 000062.28
23/03/2020 051.90 000050.31 000010.53 000060.84
24/03/2020 060.07 000050.13 000053.35 000103.48
