Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 062.00 000071.46 000151.14 000222.61
24/02/2020 060.19 000072.78 000121.78 000194.56
25/02/2020 061.05 000073.77 000116.76 000190.53
26/02/2020 063.07 000074.90 000129.30 000204.21
27/02/2020 062.67 000076.40 000115.31 000191.71
28/02/2020 063.59 000077.81 000117.29 000195.10
29/02/2020 066.51 000079.38 000155.11 000234.49
01/03/2020 068.53 000081.52 000179.97 000261.49
02/03/2020 072.50 000084.07 000246.36 000330.43
03/03/2020 076.92 000087.50 000364.68 000452.18
04/03/2020 079.66 000091.99 000452.13 000544.12
05/03/2020 080.70 000097.18 000485.25 000582.43
06/03/2020 079.12 000102.61 000429.26 000531.87
07/03/2020 075.74 000107.57 000348.64 000456.21
08/03/2020 072.32 000111.62 000279.25 000390.87
09/03/2020 068.82 000114.80 000221.78 000336.59
10/03/2020 065.71 000117.17 000176.03 000293.21
11/03/2020 063.00 000118.87 000139.72 000258.59
12/03/2020 060.54 000120.03 000110.89 000230.92
13/03/2020 058.64 000120.73 000088.03 000208.76
14/03/2020 056.62 000121.10 000069.87 000190.97
15/03/2020 055.00 000121.14 000055.45 000176.60
16/03/2020 053.42 000120.94 000044.01 000164.95
17/03/2020 052.03 000120.50 000034.93 000155.43
18/03/2020 050.75 000119.88 000027.73 000147.60
19/03/2020 049.64 000119.09 000022.01 000141.10
20/03/2020 049.73 000118.22 000019.86 000138.08
21/03/2020 055.98 000117.35 000077.88 000195.23
22/03/2020 062.05 000117.32 000141.98 000259.30
23/03/2020 066.09 000118.31 000176.95 000295.25
24/03/2020 068.31 000120.08 000186.15 000306.23
