Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.81 000104.54 000220.83 000325.37
24/02/2020 036.87 000104.90 000192.25 000297.15
25/02/2020 035.03 000104.95 000167.36 000272.32
26/02/2020 034.57 000104.75 000156.41 000261.16
27/02/2020 032.92 000104.48 000136.16 000240.64
28/02/2020 031.49 000104.00 000118.54 000222.54
29/02/2020 041.56 000103.35 000329.99 000433.34
01/03/2020 044.42 000104.20 000353.05 000457.25
02/03/2020 050.70 000105.59 000461.96 000567.55
03/03/2020 059.73 000108.37 000729.36 000837.73
04/03/2020 066.07 000113.63 000933.42 001047.05
05/03/2020 064.04 000120.93 000845.64 000966.57
06/03/2020 066.79 000127.48 000901.09 001028.57
07/03/2020 069.60 000134.93 000983.92 001118.84
08/03/2020 069.84 000143.34 000969.81 001113.16
09/03/2020 070.05 000151.79 000958.22 001110.01
10/03/2020 065.65 000160.24 000837.84 000998.08
11/03/2020 061.83 000167.03 000732.83 000899.86
12/03/2020 058.57 000172.49 000641.93 000814.42
13/03/2020 055.70 000176.90 000562.73 000739.64
14/03/2020 052.46 000180.44 000490.15 000670.60
15/03/2020 049.50 000183.09 000426.80 000609.89
16/03/2020 046.68 000184.98 000371.55 000556.54
17/03/2020 044.08 000186.22 000323.46 000509.68
18/03/2020 041.55 000186.91 000281.59 000468.49
19/03/2020 039.47 000187.11 000245.13 000432.24
20/03/2020 037.41 000186.94 000213.40 000400.34
21/03/2020 035.65 000186.44 000185.78 000372.22
22/03/2020 039.12 000185.68 000221.32 000407.00
23/03/2020 044.35 000185.47 000296.10 000481.57
24/03/2020 049.64 000186.21 000382.19 000568.40
