Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 045.09 000251.08 000890.31 001141.39
24/02/2020 043.24 000249.27 000751.29 001000.57
25/02/2020 043.16 000247.48 000742.16 000989.64
26/02/2020 045.06 000245.70 000867.55 001113.25
27/02/2020 050.39 000243.93 001349.94 001593.88
28/02/2020 053.27 000244.59 001538.21 001782.81
29/02/2020 051.64 000264.05 001450.61 001714.66
01/03/2020 052.64 000272.47 001507.51 001779.98
02/03/2020 059.35 000287.44 002489.89 002777.34
03/03/2020 059.41 000352.97 002986.77 003339.74
04/03/2020 060.59 000418.48 003668.78 004087.26
05/03/2020 057.14 000493.57 003549.47 004043.05
06/03/2020 057.23 000539.66 003570.72 004110.38
07/03/2020 058.80 000586.13 003858.38 004444.51
08/03/2020 059.73 000644.95 004225.15 004870.10
09/03/2020 058.21 000711.03 004207.60 004918.63
10/03/2020 053.40 000764.08 003678.95 004443.03
11/03/2020 049.46 000780.72 003095.02 003875.73
12/03/2020 047.71 000775.10 002607.09 003382.19
13/03/2020 046.75 000769.52 002225.02 002994.54
14/03/2020 044.69 000763.99 001871.03 002635.02
15/03/2020 042.73 000758.49 001573.38 002331.87
16/03/2020 040.76 000753.03 001323.05 002076.08
17/03/2020 038.95 000747.62 001112.55 001860.17
18/03/2020 037.05 000742.24 000935.54 001677.78
19/03/2020 035.49 000736.90 000786.99 001523.89
20/03/2020 034.50 000731.60 000673.75 001405.34
21/03/2020 033.80 000726.33 000591.73 001318.06
22/03/2020 038.69 000721.11 000912.38 001633.49
23/03/2020 043.48 000715.92 001210.34 001926.26
24/03/2020 048.75 000710.77 001562.83 002273.60
