Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 035.44 000768.85 000705.24 001474.09
24/02/2020 032.98 000767.37 000651.72 001419.10
25/02/2020 035.68 000763.53 000661.39 001424.92
26/02/2020 036.66 000762.35 000663.54 001425.88
27/02/2020 036.67 000762.21 000658.52 001420.73
28/02/2020 037.90 000762.09 000672.98 001435.06
29/02/2020 041.69 000763.34 000751.07 001514.41
01/03/2020 044.28 000769.29 000852.47 001621.75
02/03/2020 043.75 000778.84 000885.20 001664.04
03/03/2020 048.73 000787.54 001068.32 001855.86
04/03/2020 046.32 000803.97 001117.00 001920.97
05/03/2020 046.36 000816.33 001175.24 001991.58
06/03/2020 045.70 000828.67 001208.12 002036.79
07/03/2020 048.99 000839.87 001349.72 002189.59
08/03/2020 042.19 000856.31 001273.97 002130.28
09/03/2020 038.52 000862.18 001182.76 002044.93
10/03/2020 034.91 000863.33 001076.06 001939.39
11/03/2020 030.88 000860.54 000958.70 001819.24
12/03/2020 028.35 000854.15 000854.11 001708.26
13/03/2020 026.53 000847.13 000761.04 001608.17
14/03/2020 025.45 000840.17 000681.91 001522.08
15/03/2020 023.91 000833.26 000607.87 001441.14
16/03/2020 022.45 000826.42 000541.87 001368.29
17/03/2020 020.99 000819.63 000482.83 001302.45
18/03/2020 019.26 000812.89 000430.15 001243.04
19/03/2020 017.70 000806.21 000383.22 001189.43
20/03/2020 017.22 000799.58 000349.06 001148.64
21/03/2020 016.47 000793.01 000313.81 001106.82
22/03/2020 018.58 000786.50 000316.17 001102.67
23/03/2020 020.18 000780.03 000315.03 001095.07
24/03/2020 019.34 000773.62 000284.09 001057.71
