Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 061.14 000273.39 000280.64 000554.04
24/02/2020 059.46 000274.72 000220.82 000495.54
25/02/2020 057.63 000275.82 000170.30 000446.12
26/02/2020 059.54 000276.69 000254.24 000530.93
27/02/2020 063.28 000277.79 000439.60 000717.39
28/02/2020 066.89 000279.40 000615.38 000894.78
29/02/2020 067.35 000281.52 000565.82 000847.33
01/03/2020 064.86 000283.70 000414.88 000698.58
02/03/2020 064.16 000285.50 000348.87 000634.37
03/03/2020 061.24 000287.19 000245.10 000532.29
04/03/2020 057.71 000288.48 000170.18 000458.65
05/03/2020 054.51 000289.30 000118.16 000407.45
06/03/2020 051.60 000289.74 000082.04 000371.77
07/03/2020 048.95 000289.85 000056.96 000346.82
08/03/2020 046.59 000289.70 000039.55 000329.25
09/03/2020 044.46 000289.33 000027.46 000316.80
10/03/2020 043.25 000288.78 000021.68 000310.46
11/03/2020 041.51 000288.13 000015.05 000303.18
12/03/2020 039.85 000287.35 000010.45 000297.80
13/03/2020 038.42 000286.46 000007.26 000293.71
14/03/2020 036.95 000285.47 000005.04 000290.51
15/03/2020 035.75 000284.39 000003.50 000287.89
16/03/2020 034.69 000283.25 000002.45 000285.70
17/03/2020 033.87 000282.06 000002.38 000284.43
18/03/2020 033.94 000280.82 000019.16 000299.98
19/03/2020 034.32 000279.60 000034.75 000314.35
20/03/2020 037.01 000278.40 000089.69 000368.09
21/03/2020 039.47 000277.36 000127.17 000404.53
22/03/2020 041.90 000276.48 000157.59 000434.07
23/03/2020 043.39 000275.78 000160.71 000436.50
24/03/2020 042.61 000275.20 000119.73 000394.93
