Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 049.63 000074.68 000094.44 000169.12
24/02/2020 038.00 000075.89 000059.36 000135.24
25/02/2020 057.20 000075.86 000275.96 000351.83
26/02/2020 059.01 000078.11 000462.28 000540.39
27/02/2020 054.99 000080.63 000457.81 000538.44
28/02/2020 037.71 000082.52 000279.07 000361.58
29/02/2020 047.03 000082.42 000248.55 000330.97
01/03/2020 038.19 000083.25 000156.45 000239.70
02/03/2020 040.64 000083.19 000118.86 000202.05
03/03/2020 059.04 000083.34 000316.52 000399.86
04/03/2020 037.78 000085.82 000192.92 000278.74
05/03/2020 032.09 000085.71 000117.59 000203.29
06/03/2020 029.63 000085.18 000071.67 000156.85
07/03/2020 027.85 000084.53 000043.68 000128.22
08/03/2020 025.80 000083.89 000026.63 000110.52
09/03/2020 030.97 000083.25 000033.65 000116.91
10/03/2020 028.22 000082.68 000020.51 000103.19
11/03/2020 026.04 000082.05 000012.50 000094.55
12/03/2020 023.98 000081.43 000007.62 000089.05
13/03/2020 022.08 000080.81 000004.64 000085.45
14/03/2020 020.31 000080.20 000002.83 000083.03
15/03/2020 018.69 000079.59 000001.73 000081.31
16/03/2020 017.82 000078.98 000001.18 000080.16
17/03/2020 035.21 000078.38 000085.05 000163.43
18/03/2020 030.69 000078.12 000051.84 000129.96
19/03/2020 035.27 000077.57 000049.07 000126.64
20/03/2020 032.27 000077.32 000030.82 000108.13
21/03/2020 029.99 000076.86 000018.89 000095.76
22/03/2020 027.94 000076.28 000011.52 000087.80
23/03/2020 025.83 000075.70 000007.02 000082.72
24/03/2020 023.98 000075.13 000004.28 000079.40
