Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 032.12 000199.52 000063.21 000262.72
24/02/2020 033.47 000199.18 000065.63 000264.81
25/02/2020 034.61 000199.43 000073.93 000273.36
26/02/2020 035.68 000200.20 000086.62 000286.81
27/02/2020 036.45 000201.48 000094.90 000296.39
28/02/2020 036.80 000203.16 000094.94 000298.10
29/02/2020 035.88 000205.00 000067.11 000272.11
01/03/2020 034.76 000206.36 000047.42 000253.78
02/03/2020 033.63 000207.16 000030.62 000237.77
03/03/2020 031.84 000207.43 000008.32 000215.75
04/03/2020 030.39 000206.93 000002.08 000209.01
05/03/2020 029.50 000205.87 000000.52 000206.39
06/03/2020 028.74 000204.68 000000.13 000204.81
07/03/2020 027.99 000203.49 000000.03 000203.52
08/03/2020 027.21 000202.31 000000.01 000202.31
09/03/2020 026.61 000201.13 000000.00 000201.13
10/03/2020 026.05 000199.96 000000.04 000200.01
11/03/2020 025.47 000198.80 000000.01 000198.81
12/03/2020 024.90 000197.65 000000.00 000197.65
13/03/2020 024.33 000196.50 000000.00 000196.50
14/03/2020 023.80 000195.36 000000.00 000195.36
15/03/2020 023.19 000194.22 000000.00 000194.22
16/03/2020 022.68 000193.09 000000.00 000193.10
17/03/2020 022.36 000191.97 000001.29 000193.26
18/03/2020 021.86 000190.86 000000.32 000191.18
19/03/2020 021.52 000189.75 000000.99 000190.74
20/03/2020 021.29 000188.65 000003.04 000191.69
21/03/2020 021.26 000187.55 000009.45 000197.00
22/03/2020 021.15 000186.46 000008.06 000194.52
23/03/2020 021.12 000185.38 000010.71 000196.09
24/03/2020 020.66 000184.30 000002.69 000186.99
