Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 034.99 000104.78 000009.46 000114.24
24/02/2020 035.12 000104.53 000013.41 000117.94
25/02/2020 035.14 000104.29 000015.33 000119.62
26/02/2020 036.85 000104.04 000042.68 000146.72
27/02/2020 038.31 000103.82 000058.59 000162.41
28/02/2020 038.91 000103.61 000055.96 000159.57
29/02/2020 038.34 000103.41 000041.40 000144.81
01/03/2020 037.77 000103.20 000030.63 000133.83
02/03/2020 037.25 000102.99 000022.66 000125.65
03/03/2020 036.74 000102.77 000016.76 000119.54
04/03/2020 036.24 000102.55 000012.40 000114.95
05/03/2020 035.75 000102.32 000009.17 000111.50
06/03/2020 035.26 000102.09 000006.79 000108.88
07/03/2020 034.78 000101.85 000005.02 000106.87
08/03/2020 034.31 000101.61 000003.71 000105.33
09/03/2020 033.84 000101.37 000002.75 000104.12
10/03/2020 033.39 000101.12 000002.03 000103.15
11/03/2020 032.96 000100.87 000001.50 000102.37
12/03/2020 032.65 000100.61 000001.19 000101.80
13/03/2020 032.22 000100.36 000000.88 000101.24
14/03/2020 031.95 000100.10 000000.89 000100.98
15/03/2020 031.92 000099.83 000003.89 000103.73
16/03/2020 031.72 000099.57 000003.62 000103.20
17/03/2020 031.65 000099.31 000005.33 000104.64
18/03/2020 031.47 000099.05 000004.75 000103.80
19/03/2020 031.45 000098.79 000007.02 000105.81
20/03/2020 031.22 000098.52 000005.65 000104.18
21/03/2020 030.86 000098.26 000004.18 000102.44
22/03/2020 030.46 000098.00 000003.09 000101.09
23/03/2020 030.06 000097.73 000002.29 000100.02
24/03/2020 029.68 000097.46 000001.69 000099.15
