Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.46 000741.64 000474.34 001215.99
24/02/2020 031.14 000733.78 000414.91 001148.69
25/02/2020 035.94 000726.17 000591.19 001317.36
26/02/2020 034.44 000732.61 000489.44 001222.06
27/02/2020 035.47 000734.22 000496.49 001230.71
28/02/2020 033.35 000739.06 000374.43 001113.49
29/02/2020 037.36 000737.38 000570.29 001307.67
01/03/2020 039.57 000748.57 000715.05 001463.61
02/03/2020 038.55 000767.83 000674.12 001441.95
03/03/2020 038.48 000783.02 000668.41 001451.43
04/03/2020 040.74 000797.78 000829.51 001627.29
05/03/2020 041.46 000821.18 000920.68 001741.86
06/03/2020 044.06 000847.32 001212.78 002060.10
07/03/2020 044.07 000884.61 001319.41 002204.03
08/03/2020 042.33 000921.57 001232.98 002154.55
09/03/2020 040.05 000950.34 001058.03 002008.37
10/03/2020 035.56 000969.37 000760.52 001729.89
11/03/2020 037.96 000972.00 000793.09 001765.08
12/03/2020 034.96 000982.83 000595.64 001578.47
13/03/2020 035.02 000983.41 000532.58 001515.99
14/03/2020 033.20 000984.16 000404.88 001389.04
15/03/2020 031.79 000979.45 000298.89 001278.33
16/03/2020 030.52 000970.91 000213.27 001184.18
17/03/2020 029.30 000960.61 000150.81 001111.42
18/03/2020 028.10 000950.42 000106.64 001057.06
19/03/2020 027.08 000940.34 000075.90 001016.24
20/03/2020 030.23 000930.37 000229.28 001159.65
21/03/2020 036.33 000920.50 000546.86 001467.36
22/03/2020 040.19 000926.19 000785.94 001712.13
23/03/2020 037.84 000946.04 000672.93 001618.97
24/03/2020 039.21 000956.71 000737.71 001694.42
