Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 034.55 000018.36 000004.59 000022.96
24/02/2020 033.50 000017.91 000003.48 000021.39
25/02/2020 033.68 000017.43 000008.39 000025.82
26/02/2020 035.83 000016.97 000022.41 000039.39
27/02/2020 042.78 000016.62 000086.70 000103.32
28/02/2020 042.39 000016.66 000069.18 000085.84
29/02/2020 041.20 000016.67 000052.48 000069.15
01/03/2020 039.97 000016.61 000039.78 000056.39
02/03/2020 038.77 000016.48 000030.14 000046.63
03/03/2020 037.61 000016.29 000022.85 000039.14
04/03/2020 036.49 000016.05 000017.31 000033.37
05/03/2020 035.68 000015.77 000013.13 000028.90
06/03/2020 034.69 000015.45 000009.95 000025.41
07/03/2020 033.67 000015.11 000007.54 000022.65
08/03/2020 032.68 000014.73 000005.72 000020.44
09/03/2020 031.81 000014.32 000004.33 000018.66
10/03/2020 030.94 000013.90 000003.28 000017.18
11/03/2020 029.98 000013.46 000002.49 000015.95
12/03/2020 029.06 000013.00 000001.89 000014.88
13/03/2020 028.16 000012.56 000001.43 000013.98
14/03/2020 027.29 000012.13 000001.08 000013.21
15/03/2020 026.45 000011.71 000000.82 000012.54
16/03/2020 025.64 000011.32 000000.62 000011.94
17/03/2020 024.92 000010.93 000000.47 000011.40
18/03/2020 024.59 000010.56 000000.78 000011.34
19/03/2020 023.92 000010.20 000000.59 000010.79
20/03/2020 023.53 000009.85 000000.64 000010.49
21/03/2020 022.90 000009.52 000000.48 000010.00
22/03/2020 022.31 000009.19 000000.37 000009.56
23/03/2020 021.71 000008.88 000000.28 000009.16
24/03/2020 021.09 000008.58 000000.21 000008.79
