Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 059.61 000021.86 000019.27 000041.13
24/02/2020 058.29 000021.57 000016.20 000037.77
25/02/2020 057.33 000021.18 000013.63 000034.81
26/02/2020 061.94 000020.74 000064.02 000084.76
27/02/2020 066.92 000020.65 000123.28 000143.94
28/02/2020 069.59 000021.02 000137.68 000158.70
29/02/2020 068.49 000021.65 000115.95 000137.59
01/03/2020 067.18 000022.15 000097.50 000119.65
02/03/2020 066.14 000022.51 000081.99 000104.50
03/03/2020 065.07 000022.77 000068.94 000091.71
04/03/2020 063.88 000022.92 000057.97 000080.89
05/03/2020 062.77 000022.96 000048.75 000071.70
06/03/2020 061.66 000022.90 000040.99 000063.89
07/03/2020 060.51 000022.74 000034.47 000057.22
08/03/2020 059.37 000022.50 000028.99 000051.49
09/03/2020 058.27 000022.17 000024.37 000046.55
10/03/2020 057.38 000021.77 000020.50 000042.27
11/03/2020 056.41 000021.32 000017.24 000038.55
12/03/2020 055.36 000020.87 000014.49 000035.37
13/03/2020 054.33 000020.44 000012.19 000032.63
14/03/2020 053.32 000020.02 000010.25 000030.26
15/03/2020 052.34 000019.60 000008.62 000028.22
16/03/2020 051.38 000019.19 000007.25 000026.44
17/03/2020 050.66 000018.79 000006.09 000024.89
18/03/2020 050.33 000018.40 000005.58 000023.98
19/03/2020 050.82 000018.02 000007.99 000026.01
20/03/2020 053.53 000017.65 000024.17 000041.82
21/03/2020 055.29 000017.28 000030.93 000048.21
22/03/2020 054.53 000016.92 000026.01 000042.93
23/03/2020 053.92 000016.57 000021.91 000038.48
24/03/2020 053.07 000016.22 000018.43 000034.65
