Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 016.40 000041.83 000037.33 000079.16
24/02/2020 016.06 000041.51 000031.09 000072.60
25/02/2020 021.88 000041.19 000044.59 000085.78
26/02/2020 036.07 000040.87 000126.11 000166.98
27/02/2020 044.20 000040.55 000152.77 000193.32
28/02/2020 043.07 000040.23 000121.28 000161.52
29/02/2020 041.68 000039.92 000100.56 000140.48
01/03/2020 040.31 000039.61 000083.38 000123.00
02/03/2020 039.24 000039.31 000069.14 000108.44
03/03/2020 038.37 000039.00 000057.33 000096.33
04/03/2020 037.74 000038.70 000047.65 000086.35
05/03/2020 036.69 000038.40 000039.51 000077.91
06/03/2020 035.67 000038.10 000032.76 000070.86
07/03/2020 034.68 000037.80 000027.17 000064.97
08/03/2020 033.72 000037.51 000022.53 000060.04
09/03/2020 032.81 000037.22 000018.68 000055.90
10/03/2020 031.89 000036.93 000015.49 000052.42
11/03/2020 030.99 000036.64 000012.84 000049.49
12/03/2020 030.13 000036.36 000010.65 000047.01
13/03/2020 029.28 000036.08 000008.83 000044.91
14/03/2020 028.46 000035.80 000007.32 000043.12
15/03/2020 027.66 000035.52 000006.07 000041.59
16/03/2020 026.89 000035.25 000005.03 000040.28
17/03/2020 026.16 000034.97 000004.17 000039.14
18/03/2020 025.84 000034.70 000003.74 000038.44
19/03/2020 027.76 000034.43 000007.75 000042.18
20/03/2020 029.67 000034.16 000011.19 000045.36
21/03/2020 028.88 000033.90 000009.28 000043.18
22/03/2020 028.10 000033.64 000007.70 000041.33
23/03/2020 027.39 000033.38 000006.38 000039.76
24/03/2020 026.63 000033.12 000005.29 000038.41
