Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 041.80 000019.66 000007.70 000027.36
24/02/2020 040.95 000019.18 000006.01 000025.19
25/02/2020 040.49 000018.66 000004.87 000023.54
26/02/2020 049.20 000018.15 000139.22 000157.37
27/02/2020 056.32 000018.29 000223.00 000241.29
28/02/2020 057.17 000019.09 000183.39 000202.48
29/02/2020 056.41 000019.94 000143.37 000163.32
01/03/2020 055.57 000020.68 000112.00 000132.68
02/03/2020 054.55 000021.30 000087.44 000108.73
03/03/2020 053.55 000021.78 000068.26 000090.05
04/03/2020 052.58 000022.15 000053.29 000075.44
05/03/2020 051.64 000022.41 000041.61 000064.02
06/03/2020 050.72 000022.57 000032.48 000055.05
07/03/2020 049.81 000022.64 000025.36 000048.00
08/03/2020 049.01 000022.63 000019.80 000042.43
09/03/2020 048.25 000022.56 000015.46 000038.01
10/03/2020 047.45 000022.42 000012.07 000034.49
11/03/2020 046.63 000022.22 000009.42 000031.64
12/03/2020 045.82 000021.97 000007.36 000029.33
13/03/2020 045.02 000021.67 000005.74 000027.41
14/03/2020 044.23 000021.32 000004.48 000025.80
15/03/2020 043.47 000020.93 000003.50 000024.43
16/03/2020 042.72 000020.50 000002.73 000023.24
17/03/2020 042.00 000020.05 000002.13 000022.18
18/03/2020 041.38 000019.56 000001.67 000021.23
19/03/2020 043.28 000019.06 000012.23 000031.29
20/03/2020 045.79 000018.71 000026.14 000044.84
21/03/2020 046.11 000018.55 000023.21 000041.75
22/03/2020 045.45 000018.42 000018.12 000036.54
23/03/2020 044.80 000018.25 000014.14 000032.40
24/03/2020 044.02 000018.04 000011.04 000029.09
