Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 049.64 000025.73 000000.00 000025.73
24/02/2020 048.85 000024.98 000000.00 000024.98
25/02/2020 049.55 000024.22 000006.19 000030.40
26/02/2020 053.75 000023.56 000054.01 000077.57
27/02/2020 061.42 000023.30 000193.35 000216.64
28/02/2020 065.77 000023.80 000188.73 000212.54
29/02/2020 065.89 000024.76 000116.44 000141.20
01/03/2020 065.66 000025.67 000071.76 000097.43
02/03/2020 064.56 000026.49 000042.10 000068.59
03/03/2020 063.53 000027.13 000024.70 000051.83
04/03/2020 062.53 000027.61 000014.49 000042.10
05/03/2020 062.48 000027.95 000011.14 000039.08
06/03/2020 061.99 000028.25 000007.07 000035.32
07/03/2020 061.02 000028.49 000004.15 000032.63
08/03/2020 060.07 000028.60 000002.43 000031.04
09/03/2020 059.32 000028.61 000001.43 000030.04
10/03/2020 058.48 000028.54 000000.84 000029.38
11/03/2020 057.54 000028.39 000000.49 000028.88
12/03/2020 056.63 000028.16 000000.29 000028.45
13/03/2020 055.72 000027.86 000000.17 000028.02
14/03/2020 054.84 000027.49 000000.10 000027.58
15/03/2020 053.97 000027.06 000000.06 000027.12
16/03/2020 053.13 000026.58 000000.03 000026.62
17/03/2020 052.33 000026.06 000000.02 000026.08
18/03/2020 051.76 000025.51 000000.03 000025.54
19/03/2020 051.28 000024.95 000000.12 000025.07
20/03/2020 053.17 000024.38 000014.44 000038.82
21/03/2020 055.00 000024.01 000022.95 000046.97
22/03/2020 054.27 000023.83 000013.47 000037.30
23/03/2020 053.54 000023.60 000007.90 000031.50
24/03/2020 052.70 000023.32 000004.64 000027.95
