Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 054.53 000014.12 000000.89 000015.01
24/02/2020 053.43 000013.80 000000.66 000014.45
25/02/2020 054.48 000013.48 000004.70 000018.18
26/02/2020 059.83 000013.17 000035.77 000048.95
27/02/2020 062.44 000012.87 000039.26 000052.13
28/02/2020 061.51 000012.58 000029.06 000041.64
29/02/2020 060.60 000012.29 000021.52 000033.81
01/03/2020 059.68 000012.01 000015.93 000027.94
02/03/2020 058.64 000011.74 000011.78 000023.52
03/03/2020 057.63 000011.47 000008.72 000020.19
04/03/2020 056.63 000011.21 000006.45 000017.65
05/03/2020 055.66 000010.95 000004.77 000015.72
06/03/2020 054.69 000010.70 000003.53 000014.23
07/03/2020 053.83 000010.45 000002.61 000013.07
08/03/2020 053.11 000010.22 000001.93 000012.15
09/03/2020 052.28 000009.98 000001.43 000011.41
10/03/2020 051.41 000009.75 000001.06 000010.81
11/03/2020 050.59 000009.53 000000.78 000010.31
12/03/2020 049.76 000009.31 000000.58 000009.89
13/03/2020 048.90 000009.10 000000.43 000009.53
14/03/2020 048.05 000008.89 000000.32 000009.21
15/03/2020 047.21 000008.69 000000.23 000008.92
16/03/2020 046.39 000008.49 000000.17 000008.67
17/03/2020 046.28 000008.30 000000.65 000008.95
18/03/2020 048.42 000008.11 000006.46 000014.57
19/03/2020 049.92 000007.92 000008.83 000016.75
20/03/2020 050.32 000007.74 000008.04 000015.79
21/03/2020 050.03 000007.57 000006.22 000013.78
22/03/2020 049.72 000007.39 000004.84 000012.23
23/03/2020 049.22 000007.22 000003.62 000010.85
24/03/2020 048.37 000007.06 000002.68 000009.74
