Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 061.32 000012.24 000007.52 000019.76
24/02/2020 060.29 000012.14 000006.40 000018.55
25/02/2020 060.82 000012.02 000006.67 000018.69
26/02/2020 067.08 000011.92 000028.63 000040.55
27/02/2020 073.74 000011.99 000057.56 000069.56
28/02/2020 072.65 000012.29 000049.02 000061.31
29/02/2020 071.49 000012.54 000041.73 000054.26
01/03/2020 070.32 000012.74 000035.52 000048.25
02/03/2020 069.27 000012.90 000030.23 000043.13
03/03/2020 068.61 000013.02 000025.82 000038.83
04/03/2020 068.65 000013.11 000022.71 000035.83
05/03/2020 067.73 000013.21 000019.33 000032.54
06/03/2020 066.62 000013.28 000016.45 000029.73
07/03/2020 065.60 000013.31 000014.00 000027.31
08/03/2020 064.70 000013.30 000011.92 000025.22
09/03/2020 063.78 000013.28 000010.14 000023.42
10/03/2020 062.72 000013.22 000008.63 000021.86
11/03/2020 061.69 000013.14 000007.35 000020.49
12/03/2020 060.68 000013.04 000006.25 000019.29
13/03/2020 059.71 000012.90 000005.32 000018.23
14/03/2020 058.75 000012.75 000004.53 000017.28
15/03/2020 057.83 000012.58 000003.86 000016.44
16/03/2020 056.93 000012.39 000003.28 000015.67
17/03/2020 056.05 000012.18 000002.79 000014.98
18/03/2020 055.31 000011.96 000002.38 000014.34
19/03/2020 057.63 000011.73 000005.56 000017.29
20/03/2020 059.14 000011.55 000006.93 000018.48
21/03/2020 058.26 000011.42 000005.90 000017.31
22/03/2020 057.39 000011.26 000005.02 000016.28
23/03/2020 056.53 000011.09 000004.27 000015.36
24/03/2020 055.67 000010.91 000003.64 000014.54
