Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 036.34 000046.73 000024.66 000071.40
24/02/2020 035.05 000046.34 000018.25 000064.58
25/02/2020 033.84 000045.84 000013.50 000059.33
26/02/2020 032.87 000045.24 000009.99 000055.23
27/02/2020 032.54 000044.58 000008.97 000053.56
28/02/2020 032.35 000043.91 000009.15 000053.06
29/02/2020 032.12 000043.24 000008.87 000052.11
01/03/2020 031.08 000042.56 000006.56 000049.12
02/03/2020 030.16 000041.82 000004.86 000046.67
03/03/2020 029.28 000041.03 000003.59 000044.62
04/03/2020 028.43 000040.25 000002.66 000042.91
05/03/2020 027.60 000039.48 000001.97 000041.45
06/03/2020 026.80 000038.73 000001.45 000040.18
07/03/2020 026.02 000037.99 000001.08 000039.07
08/03/2020 025.27 000037.27 000000.80 000038.06
09/03/2020 024.54 000036.55 000000.59 000037.14
10/03/2020 023.82 000035.86 000000.44 000036.29
11/03/2020 023.13 000035.17 000000.32 000035.50
12/03/2020 022.46 000034.50 000000.24 000034.74
13/03/2020 021.81 000033.84 000000.18 000034.02
14/03/2020 021.18 000033.20 000000.13 000033.33
15/03/2020 020.56 000032.57 000000.10 000032.66
16/03/2020 019.96 000031.95 000000.07 000032.02
17/03/2020 019.39 000031.34 000000.05 000031.39
18/03/2020 020.74 000030.74 000006.82 000037.56
19/03/2020 022.03 000030.15 000011.68 000041.83
20/03/2020 022.85 000029.58 000013.66 000043.24
21/03/2020 022.80 000029.01 000012.21 000041.22
22/03/2020 022.52 000028.46 000009.50 000037.96
23/03/2020 021.87 000027.92 000007.03 000034.95
24/03/2020 021.24 000027.38 000005.20 000032.58
